"Season","Name","Team","wFB","FA-Z (pi)","vFA (pi)","playerid"
"2021","Lance McCullers Jr.","HOU","-5.7","4.3","93.4","14120"
"2021","Anthony DeSclafani","SFG","15.1","8.5","94.2","13050"
"2021","Joe Musgrove","SDP","-7.1","6.6","93.3","12970"
"2015","A.J. Burnett","PIT","3.6","6.6","92.0","512"
"2016","J.A. Happ","TOR","30.6","9.1","92.8","7410"
"2021","Sandy Alcantara","MIA","11.6","7.0","98.1","18684"
"2016","Jose Quintana","CHW","29.9","8.1","92.7","11423"
"2017","Zack Greinke","ARI","-1.9","8.9","90.8","1943"
"2018","Jameson Taillon","PIT","12.9","7.9","95.3","11674"
"2018","Zack Greinke","ARI","-5.0","8.7","89.5","1943"
"2016","Julio Teheran","ATL","6.4","7.3","91.7","6797"
"2020","Luis Castillo","CIN","3.7","6.3","97.6","15689"
"2019","Marcus Stroman","- - -","-4.3","7.2","93.1","13431"
"2021","Gerrit Cole","NYY","12.1","9.4","97.8","13125"
"2015","Chris Archer","TBR","0.6","9.4","96.0","6345"
"2019","Patrick Corbin","WSN","1.4","7.8","92.0","9323"
"2019","Walker Buehler","LAD","24.4","9.2","96.7","19374"
"2015","Tyson Ross","SDP","-9.5","7.6","93.8","7872"
"2019","Shane Bieber","CLE","12.8","9.3","93.2","19427"
"2017","Ervin Santana","MIN","-0.3","8.5","93.2","3200"
"2020","Aaron Nola","PHI","3.6","6.9","93.1","16149"
"2017","Carlos Carrasco","CLE","-11.3","7.1","94.6","6632"
"2020","Dylan Bundy","LAA","2.9","10.0","90.1","12917"
"2018","Zack Wheeler","NYM","23.8","8.6","96.0","10310"
"2019","Stephen Strasburg","WSN","9.2","7.6","94.1","10131"
"2017","Drew Pomeranz","BOS","6.1","9.3","91.7","11426"
"2016","Cole Hamels","TEX","4.3","8.9","93.4","4972"
"2018","Jon Lester","CHC","-6.7","8.0","91.1","4930"
"2020","Lance Lynn","TEX","7.4","8.1","94.2","2520"
"2016","Drew Pomeranz","- - -","6.7","9.0","91.8","11426"
"2016","Chris Sale","CHW","14.7","4.5","93.8","10603"
"2015","Jon Lester","CHC","7.7","8.5","92.6","4930"
"2015","Wei-Yin Chen","BAL","1.4","8.6","92.5","13071"
"2021","Charlie Morton","ATL","4.7","6.4","95.5","4676"
"2016","John Lackey","CHC","0.8","7.1","92.5","1507"
"2015","Jake Odorizzi","TBR","8.4","9.8","92.2","6397"
"2019","Dakota Hudson","STL","-0.7","5.6","94.1","19206"
"2015","Jose Quintana","CHW","-9.6","8.5","92.0","11423"
"2017","Justin Verlander","- - -","33.5","8.5","95.3","8700"
"2021","Wade Miley","CIN","2.6","8.6","90.1","8779"
"2021","Frankie Montas","OAK","7.2","9.0","96.6","14309"
"2015","Michael Wacha","STL","9.3","9.7","94.9","14078"
"2018","Carlos Carrasco","CLE","-1.2","7.0","93.8","6632"
"2015","Francisco Liriano","PIT","-4.3","7.4","93.3","3201"
"2016","Ervin Santana","MIN","15.1","8.0","93.6","3200"
"2018","Luis Severino","NYY","6.6","8.5","97.7","15890"
"2019","Luis Castillo","CIN","3.9","5.8","96.3","15689"
"2017","Andrew Cashner","TEX","17.7","8.3","94.0","8782"
"2015","Chris Sale","CHW","0.5","5.4","95.5","10603"
"2019","Lucas Giolito","CHW","20.6","9.7","94.4","15474"
"2015","Yovani Gallardo","TEX","2.7","9.1","91.4","8173"
"2016","Bartolo Colon","NYM","13.7","7.7","90.3","375"
"2017","Lance Lynn","STL","15.5","7.6","92.5","2520"
"2020","Antonio Senzatela","COL","0.7","5.3","94.4","15488"
"2018","Kyle Hendricks","CHC","4.4","8.4","87.3","12049"
"2015","Johnny Cueto","- - -","19.1","8.4","93.2","6893"
"2015","Danny Salazar","CLE","-2.8","8.7","95.9","5867"
"2019","Kyle Hendricks","CHC","13.0","7.2","87.1","12049"
"2016","Marco Estrada","TOR","10.6","11.7","88.8","1118"
"2020","Lucas Giolito","CHW","11.0","9.8","94.2","15474"
"2016","Kenta Maeda","LAD","4.8","8.5","90.8","18498"
"2015","Corey Kluber","CLE","-8.5","8.2","93.5","2429"
"2017","Jimmy Nelson","MIL","8.4","7.8","94.4","10547"
"2018","Jhoulys Chacin","MIL","-7.5","6.7","90.0","2608"
"2016","Danny Duffy","KCR","2.2","10.4","95.6","3542"
"2021","Jose Berrios","- - -","8.1","7.3","94.1","14168"
"2019","Jeff Samardzija","SFG","7.5","7.9","91.7","3254"
"2015","Felix Hernandez","SEA","-13.3","6.1","92.8","4772"
"2021","Lucas Giolito","CHW","1.1","10.0","94.0","15474"
"2017","Jake Arrieta","CHC","9.6","7.3","92.4","4153"
"2017","Jacob deGrom","NYM","14.2","8.6","95.9","10954"
"2017","Aaron Nola","PHI","-3.7","6.1","92.6","16149"
"2017","Sonny Gray","- - -","5.0","6.9","93.7","12768"
"2015","Edinson Volquez","KCR","-10.6","8.7","94.5","3990"
"2018","Mike Fiers","- - -","2.3","9.8","89.6","7754"
"2020","Framber Valdez","HOU","1.7","5.7","93.9","17295"
"2018","Derek Holland","SFG","2.7","7.6","91.7","4141"
"2018","David Price","BOS","16.3","7.2","92.9","3184"
"2019","Mike Minor","TEX","12.3","7.8","92.5","10021"
"2015","Hector Santiago","LAA","7.9","8.5","91.0","4026"
"2015","Dan Haren","- - -","1.4","9.7","87.0","1757"
"2016","Kevin Gausman","BAL","6.7","8.7","95.4","14107"
"2021","Chris Flexen","SEA","3.6","9.5","92.9","13896"
"2015","J.A. Happ","- - -","14.1","8.6","92.8","7410"
"2018","Kyle Gibson","MIN","1.4","8.3","93.3","10123"
"2015","Carlos Carrasco","CLE","-1.1","6.8","95.5","6632"
"2017","Carlos Martinez","STL","2.5","6.3","96.6","11682"
"2015","Cole Hamels","- - -","-2.9","8.9","93.6","4972"
"2015","Garrett Richards","LAA","3.9","5.1","96.3","9784"
"2018","J.A. Happ","- - -","14.5","9.2","92.5","7410"
"2016","Jerad Eickhoff","PHI","-7.4","8.8","91.5","12664"
"2015","Jordan Zimmermann","WSN","-10.6","7.4","93.5","4505"
"2017","Alex Cobb","TBR","7.2","8.9","91.7","6562"
"2019","Lance Lynn","TEX","20.4","7.5","94.7","2520"
"2016","Ian Kennedy","KCR","20.9","8.5","92.9","6986"
"2019","Jose Berrios","MIN","11.5","7.4","93.3","14168"
"2016","Jake Odorizzi","TBR","16.3","9.9","92.4","6397"
"2015","Brett Anderson","LAD","-4.7","6.1","91.7","8223"
"2015","Mike Fiers","- - -","2.1","10.2","90.2","7754"
"2015","Mike Leake","- - -","4.6","3.4","89.4","10130"
"2021","Kyle Gibson","- - -","0.9","8.5","93.1","10123"
"2016","Jeremy Hellickson","PHI","-1.7","7.3","90.9","4371"
"2018","Wade LeBlanc","SEA","-4.8","7.7","86.3","5221"
"2018","Dallas Keuchel","HOU","4.0","6.8","89.9","9434"
"2020","Max Scherzer","WSN","1.4","8.0","94.9","3137"
"2015","Jason Hammel","CHC","-15.9","8.8","92.8","4538"
"2020","German Marquez","COL","-3.5","7.0","96.0","15038"
"2015","Erasmo Ramirez","TBR","5.8","7.2","92.1","10314"
"2021","Tyler Mahle","CIN","4.7","8.9","94.2","16358"
"2021","Nathan Eovaldi","BOS","0.1","7.3","97.1","9132"
"2016","Dan Straily","CIN","0.4","8.6","89.8","9460"
"2018","German Marquez","COL","-4.8","7.0","95.3","15038"
"2016","Chris Tillman","BAL","2.8","9.6","92.4","5279"
"2018","Cole Hamels","- - -","-10.2","7.9","92.5","4972"
"2015","Gio Gonzalez","WSN","1.5","8.2","92.9","7448"
"2015","Mark Buehrle","TOR","-1.4","5.8","83.8","225"
"2016","Jeff Samardzija","SFG","-4.6","6.0","94.8","3254"
"2019","Eduardo Rodriguez","BOS","10.7","6.9","93.1","13164"
"2019","Julio Teheran","ATL","21.1","6.1","89.8","6797"
"2017","Jose Urena","MIA","3.0","6.3","95.8","11589"
"2017","Michael Fulmer","DET","15.6","8.0","95.8","13218"
"2016","Jason Hammel","CHC","0.3","7.9","92.7","4538"
"2018","Jose Berrios","MIN","14.4","7.8","93.6","14168"
"2015","Kyle Gibson","MIN","-10.4","8.4","92.5","10123"
"2015","Alex Wood","- - -","2.1","4.8","89.4","13781"
"2019","Anibal Sanchez","WSN","0.5","9.0","90.5","3284"
"2017","Yu Darvish","- - -","-1.2","8.8","94.5","13074"
"2019","Aaron Nola","PHI","-7.6","6.7","93.3","16149"
"2019","Sandy Alcantara","MIA","10.1","7.5","95.7","18684"
"2019","Brett Anderson","OAK","-1.2","7.0","91.2","8223"
"2019","Anthony DeSclafani","CIN","4.7","8.3","94.8","13050"
"2015","Collin McHugh","HOU","-2.9","8.1","91.3","7531"
"2017","Jhoulys Chacin","SDP","-6.9","7.6","91.8","2608"
