"Season","Name","Team","wFA (pi)","playerid"
"2015","Wei-Yin Chen","BAL","3.1","13071"
"2021","Charlie Morton","ATL","9.6","4676"
"2016","John Lackey","CHC","4.5","1507"
"2015","Jake Odorizzi","TBR","8.3","6397"
"2019","Dakota Hudson","STL","8.3","19206"
"2015","Jose Quintana","CHW","-5.9","11423"
"2017","Justin Verlander","- - -","35.2","8700"
"2021","Wade Miley","CIN","3.3","8779"
"2021","Frankie Montas","OAK","4.9","14309"
"2015","Michael Wacha","STL","12.5","14078"
"2018","Carlos Carrasco","CLE","-2.5","6632"
"2015","Francisco Liriano","PIT","2.7","3201"
"2016","Ervin Santana","MIN","13.9","3200"
"2018","Luis Severino","NYY","7.3","15890"
"2019","Luis Castillo","CIN","-3.5","15689"
"2017","Andrew Cashner","TEX","7.9","8782"
"2015","Chris Sale","CHW","5.5","10603"
"2019","Lucas Giolito","CHW","21.1","15474"
"2015","Yovani Gallardo","TEX","0.9","8173"
"2016","Bartolo Colon","NYM","0.8","375"
"2017","Lance Lynn","STL","7.7","2520"
"2020","Antonio Senzatela","COL","0.9","15488"
"2018","Kyle Hendricks","CHC","0.8","12049"
"2015","Johnny Cueto","- - -","10.5","6893"
"2015","Danny Salazar","CLE","-2.2","5867"
"2019","Kyle Hendricks","CHC","10.6","12049"
"2016","Marco Estrada","TOR","11.1","1118"
"2020","Lucas Giolito","CHW","11.2","15474"
"2016","Kenta Maeda","LAD","10.0","18498"
"2015","Corey Kluber","CLE","2.5","2429"
"2017","Jimmy Nelson","MIL","-6.2","10547"
"2018","Jhoulys Chacin","MIL","-0.4","2608"
"2016","Danny Duffy","KCR","6.8","3542"
"2021","Jose Berrios","- - -","-3.0","14168"
"2019","Jeff Samardzija","SFG","10.9","3254"
"2015","Felix Hernandez","SEA","-7.3","4772"
"2021","Lucas Giolito","CHW","1.7","15474"
"2017","Jake Arrieta","CHC","1.7","4153"
"2017","Jacob deGrom","NYM","16.7","10954"
"2017","Aaron Nola","PHI","-3.6","16149"
"2017","Sonny Gray","- - -","-0.3","12768"
"2015","Edinson Volquez","KCR","-0.2","3990"
"2018","Mike Fiers","- - -","3.4","7754"
"2020","Framber Valdez","HOU","-0.3","17295"
"2018","Derek Holland","SFG","-0.8","4141"
"2018","David Price","BOS","1.1","3184"
"2019","Mike Minor","TEX","11.5","10021"
"2015","Hector Santiago","LAA","7.0","4026"
"2015","Dan Haren","- - -","-1.0","1757"
"2016","Kevin Gausman","BAL","11.2","14107"
"2021","Chris Flexen","SEA","4.0","13896"
"2015","J.A. Happ","- - -","19.3","7410"
"2018","Kyle Gibson","MIN","-8.8","10123"
"2015","Carlos Carrasco","CLE","-4.5","6632"
"2017","Carlos Martinez","STL","1.5","11682"
"2015","Cole Hamels","- - -","-0.6","4972"
"2015","Garrett Richards","LAA","9.8","9784"
"2018","J.A. Happ","- - -","18.9","7410"
"2016","Jerad Eickhoff","PHI","3.5","12664"
"2015","Jordan Zimmermann","WSN","-7.2","4505"
"2017","Alex Cobb","TBR","0.1","6562"
"2019","Lance Lynn","TEX","26.6","2520"
"2016","Ian Kennedy","KCR","19.7","6986"
"2019","Jose Berrios","MIN","7.2","14168"
"2016","Jake Odorizzi","TBR","7.4","6397"
"2015","Brett Anderson","LAD","-4.1","8223"
"2015","Mike Fiers","- - -","1.9","7754"
"2015","Mike Leake","- - -","-0.1","10130"
"2021","Kyle Gibson","- - -","-0.3","10123"
"2016","Jeremy Hellickson","PHI","-1.6","4371"
"2018","Wade LeBlanc","SEA","2.9","5221"
"2018","Dallas Keuchel","HOU","2.2","9434"
"2020","Max Scherzer","WSN","1.4","3137"
"2015","Jason Hammel","CHC","-1.6","4538"
"2020","German Marquez","COL","-5.1","15038"
"2015","Erasmo Ramirez","TBR","4.9","10314"
"2021","Tyler Mahle","CIN","4.7","16358"
"2021","Nathan Eovaldi","BOS","0.2","9132"
"2016","Dan Straily","CIN","-1.5","9460"
"2018","German Marquez","COL","-5.1","15038"
"2016","Chris Tillman","BAL","8.2","5279"
"2018","Cole Hamels","- - -","-6.7","4972"
"2015","Gio Gonzalez","WSN","9.0","7448"
"2015","Mark Buehrle","TOR","4.4","225"
"2016","Jeff Samardzija","SFG","6.0","3254"
"2019","Eduardo Rodriguez","BOS","4.4","13164"
"2019","Julio Teheran","ATL","3.1","6797"
"2017","Jose Urena","MIA","1.4","11589"
"2017","Michael Fulmer","DET","4.2","13218"
"2016","Jason Hammel","CHC","0.3","4538"
"2018","Jose Berrios","MIN","7.8","14168"
"2015","Kyle Gibson","MIN","-11.8","10123"
"2015","Alex Wood","- - -","0.4","13781"
"2019","Anibal Sanchez","WSN","5.2","3284"
"2017","Yu Darvish","- - -","-1.2","13074"
"2019","Aaron Nola","PHI","-4.7","16149"
"2019","Sandy Alcantara","MIA","2.7","18684"
"2019","Brett Anderson","OAK","4.6","8223"
"2019","Anthony DeSclafani","CIN","1.8","13050"
"2015","Collin McHugh","HOU","-1.2","7531"
"2017","Jhoulys Chacin","SDP","-6.3","2608"
"2018","Sean Newcomb","ATL","14.1","16943"
"2019","Mike Fiers","OAK","0.0","7754"
"2019","Madison Bumgarner","SFG","4.5","5524"
"2017","Zach Davies","MIL","0.0","13183"
"2015","R.A. Dickey","TOR","0.8","1245"
"2016","CC Sabathia","NYY","-1.4","404"
"2021","Dylan Cease","CHW","0.1","18525"
"2018","Reynaldo Lopez","CHW","-0.9","16400"
"2015","James Shields","SDP","-8.4","7059"
"2021","Sean Manaea","OAK","","15873"
"2017","Mike Leake","- - -","","10130"
"2018","Kevin Gausman","- - -","-6.7","14107"
"2018","Julio Teheran","ATL","-2.4","6797"
"2015","Kyle Hendricks","CHC","-5.6","12049"
"2015","Chris Heston","SFG","-5.0","10302"
"2018","Jake Arrieta","PHI","0.0","4153"
"2019","Zack Wheeler","NYM","14.5","10310"
"2016","Zach Davies","MIL","-2.7","13183"
"2016","Brandon Finnegan","CIN","0.8","16208"
"2019","Yu Darvish","CHC","-7.0","13074"
"2019","Wade Miley","HOU","3.2","8779"
"2021","Luis Castillo","CIN","-4.9","15689"
"2018","Jose Urena","MIA","0.6","11589"
"2019","Marco Gonzales","SEA","3.7","15467"
"2016","David Price","BOS","-1.3","3184"
"2018","Marco Gonzales","SEA","-0.3","15467"
"2020","Jose Berrios","MIN","-6.9","14168"
"2019","Max Fried","ATL","1.4","13743"
"2016","Chris Archer","TBR","-13.7","6345"
"2018","Jose Quintana","CHC","11.4","11423"
"2020","Zack Greinke","HOU","-2.2","1943"
"2017","Patrick Corbin","ARI","-12.0","9323"
"2016","Carlos Rodon","CHW","-15.4","16137"
"2015","Julio Teheran","ATL","3.8","6797"
"2015","Anthony DeSclafani","CIN","0.8","13050"
"2020","Brady Singer","KCR","0.2","25377"
"2017","Chris Archer","TBR","-3.7","6345"
"2015","Yordano Ventura","KCR","-10.2","11855"
"2015","Tom Koehler","MIA","-6.8","6570"
"2016","Matt Moore","- - -","5.3","1890"
"2015","Ubaldo Jimenez","BAL","-0.7","3374"
"2015","Jimmy Nelson","MIL","-2.7","10547"
"2016","Kendall Graveman","OAK","-7.3","15514"
"2016","Hisashi Iwakuma","SEA","3.9","13048"
"2015","Jon Niese","NYM","-4.3","4424"
"2017","Michael Wacha","STL","5.7","14078"
"2019","Zach Eflin","PHI","3.0","13774"
"2017","Ivan Nova","PIT","-9.3","1994"
"2018","Andrew Heaney","LAA","0.4","15423"
"2017","Jose Quintana","- - -","19.1","11423"
"2019","Miles Mikolas","STL","0.9","9803"
"2017","Jason Vargas","KCR","-2.4","8044"
"2021","Zack Greinke","HOU","3.7","1943"
"2015","Bartolo Colon","NYM","-3.7","375"
"2016","Ivan Nova","- - -","-6.4","1994"
"2019","Joey Lucchesi","SDP","-2.8","19320"
"2017","Trevor Bauer","CLE","3.7","12703"
"2019","Brad Keller","KCR","3.6","15734"
"2018","Ivan Nova","PIT","-3.0","1994"
"2019","Adam Wainwright","STL","-3.2","2233"
"2018","Gio Gonzalez","- - -","12.0","7448"
"2021","Yu Darvish","SDP","0.7","13074"
"2021","Cole Irvin","OAK","5.6","19244"
"2017","Dylan Bundy","BAL","-6.6","12917"
"2017","Gerrit Cole","PIT","5.4","13125"
"2017","Dan Straily","MIA","3.9","9460"
"2015","Mike Pelfrey","MIN","0.0","5203"
"2016","Trevor Bauer","CLE","-2.1","12703"
"2017","R.A. Dickey","ATL","8.3","1245"
"2015","Ian Kennedy","SDP","-0.7","6986"
"2019","Noah Syndergaard","NYM","0.6","11762"
"2018","Rick Porcello","BOS","5.1","2717"
"2019","Mike Leake","- - -","-2.4","10130"
"2018","Luis Castillo","CIN","-6.0","15689"
"2016","Tom Koehler","MIA","-9.6","6570"
"2020","Kyle Freeland","COL","-1.1","16256"
"2017","Jon Lester","CHC","-5.3","4930"
"2019","Robbie Ray","ARI","15.2","11486"
"2015","Andrew Cashner","SDP","0.9","8782"
"2016","Collin McHugh","HOU","-7.8","7531"
"2018","Tanner Roark","WSN","-2.0","8753"
"2019","Tanner Roark","- - -","-5.6","8753"
"2018","Mike Leake","SEA","0.0","10130"
"2021","Hyun-Jin Ryu","TOR","0.4","14444"
"2016","Marcus Stroman","TOR","-2.4","13431"
"2018","Jakob Junis","KCR","-7.3","13619"
"2018","Matthew Boyd","DET","-1.7","15440"
"2017","German Marquez","COL","-6.7","15038"
"2016","Martin Perez","TEX","-7.2","6902"
"2016","Josh Tomlin","CLE","3.4","9388"
"2021","German Marquez","COL","3.4","15038"
"2016","Ricky Nolasco","- - -","-7.1","3830"
"2019","Merrill Kelly","ARI","5.8","11156"
"2017","Jeff Samardzija","SFG","-2.9","3254"
"2019","Joe Musgrove","PIT","-6.0","12970"
"2019","Masahiro Tanaka","NYY","-9.5","15764"
"2016","Yordano Ventura","KCR","-18.1","11855"
"2020","Andrew Heaney","LAA","","15423"
"2016","R.A. Dickey","TOR","0.7","1245"
"2019","Jon Lester","CHC","-5.2","4930"
"2015","Wade Miley","BOS","-4.2","8779"
"2020","Alec Mills","CHC","-6.4","13834"
"2019","Trevor Bauer","- - -","-4.5","12703"
"2016","Mike Fiers","HOU","-12.9","7754"
"2018","Jake Odorizzi","MIN","-0.1","6397"
"2015","Jeff Locke","PIT","-2.1","2929"
"2017","Julio Teheran","ATL","4.5","6797"
"2020","Martin Perez","BOS","1.1","6902"
"2021","Tyler Anderson","- - -","1.8","12880"
"2018","James Shields","CHW","-4.2","7059"
"2015","Trevor Bauer","CLE","-3.1","12703"
"2018","Tyler Anderson","COL","-8.0","12880"
"2016","Dallas Keuchel","HOU","-0.2","9434"
"2015","Taijuan Walker","SEA","10.4","11836"
"2019","Matthew Boyd","DET","3.1","15440"
"2016","Gio Gonzalez","WSN","-8.6","7448"
"2019","Homer Bailey","- - -","7.0","8362"
"2017","John Lackey","CHC","-0.4","1507"
"2016","Jon Gray","COL","-9.1","14916"
"2016","Jimmy Nelson","MIL","-1.8","10547"
"2016","Adam Wainwright","STL","-11.7","2233"
"2021","Aaron Nola","PHI","2.2","16149"
"2016","Doug Fister","HOU","-1.2","9425"
"2017","Rick Porcello","BOS","-5.9","2717"
"2020","Patrick Corbin","WSN","-5.3","9323"
"2015","Colby Lewis","TEX","-10.6","1259"
"2017","Tanner Roark","WSN","-1.2","8753"
