"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Charlie Blackmon","COL","582","9.3%","15.6%","0.59",".270",".351",".411",".761",".140","4.3",".305","0.6","0.8","0.0","79","8.8",".333","94","7859"
"Miguel Sano","MIN","532","11.1%","34.4%","0.32",".223",".312",".466",".778",".243","2.3",".291","-0.5","-1.3","-0.4","72","7.5",".332","110","12164"
"Nicky Lopez","KCR","565","8.7%","13.1%","0.66",".300",".365",".378",".744",".078","7.1",".347","4.3","0.5","3.4","75","6.7",".329","106","19339"
"Austin Hays","BAL","529","5.3%","20.2%","0.26",".256",".308",".461",".769",".205","4.8",".286","-0.2","0.7","-0.8","70","6.1",".328","106","19363"
"Ian Happ","CHC","535","11.6%","29.2%","0.40",".226",".323",".434",".757",".209","4.0",".281","0.9","-1.2","0.5","71","6.1",".328","103","17919"
"Andrew Benintendi","KCR","538","6.7%","18.0%","0.37",".276",".324",".442",".766",".166","3.6",".309","0.7","1.8","-2.6","71","6.1",".328","106","17901"
"Austin Meadows","TBR","591","10.0%","20.6%","0.48",".234",".315",".458",".772",".224","4.1",".249","-3.0","2.2","-0.9","78","6.3",".327","113","15672"
"Josh Rojas","ARI","550","10.5%","24.9%","0.42",".264",".341",".411",".752",".147","4.8",".345","4.3","0.7","-0.4","72","5.8",".327","102","19734"
"Trey Mancini","BAL","616","8.3%","23.2%","0.36",".255",".326",".432",".758",".176","2.1",".308","-2.4","-2.4","-0.5","80","5.8",".326","105","15149"
"Mike Yastrzemski","SFG","532","9.6%","24.6%","0.39",".224",".311",".457",".768",".233","5.0",".254","1.0","2.5","0.4","69","5.0",".326","106","14854"
"Yandy Diaz","TBR","541","12.8%","15.7%","0.81",".256",".353",".387",".740",".131","2.3",".286","-1.4","-0.1","-0.7","70","4.6",".325","111","16578"
"Josh Harrison","- - -","558","5.6%","13.4%","0.41",".279",".341",".400",".741",".121","4.1",".313","-0.5","0.8","-0.8","72","4.7",".325","103","8202"
"Adam Duvall","- - -","555","6.3%","31.4%","0.20",".228",".281",".491",".772",".263","4.2",".260","-3.7","0.6","0.7","72","4.5",".324","103","10950"
"Jonathan Schoop","DET","674","5.5%","19.7%","0.28",".278",".320",".435",".755",".157","2.8",".317","-0.3","-1.6","-0.2","87","5.3",".324","105","11265"
"Jorge Soler","- - -","602","11.1%","23.6%","0.47",".223",".316",".432",".749",".209","1.4",".250","-5.8","-0.5","-0.5","77","4.3",".323","100","14221"
"Dansby Swanson","ATL","653","8.0%","25.6%","0.31",".248",".311",".449",".760",".201","4.2",".297","2.0","1.3","0.1","83","4.3",".322","98","18314"
"Trent Grisham","SDP","527","10.2%","22.6%","0.45",".242",".327",".413",".740",".171","5.1",".292","2.5","-0.6","0.1","66","2.6",".320","103","18564"
"Jonathan Villar","NYM","505","9.1%","26.1%","0.35",".249",".322",".416",".738",".167","4.9",".313","3.1","1.1","-0.6","63","2.2",".320","105","10071"
"Eric Hosmer","SDP","565","8.5%","17.5%","0.48",".269",".337",".395",".732",".126","2.3",".313","-2.9","-1.4","-1.2","71","2.4",".319","102","3516"
"Tommy Pham","SDP","561","13.9%","22.8%","0.61",".229",".340",".383",".724",".154","5.0",".280","1.6","-0.3","-0.2","70","1.8",".318","102","2967"
"Pavin Smith","ARI","545","7.7%","19.4%","0.40",".267",".328",".404",".732",".137","3.6",".319","-1.6","-0.5","-0.3","68","1.7",".318","96","19892"
"Francisco Lindor","NYM","524","11.1%","18.3%","0.60",".230",".322",".412",".734",".181","5.3",".248","1.0","1.1","-0.1","64","1.0",".317","103","12916"
"Kyle Farmer","CIN","529","4.2%","18.3%","0.23",".263",".316",".416",".732",".153","3.0",".296","1.4","-1.6","-1.3","65","0.7",".316","91","14813"
"Amed Rosario","CLE","588","5.3%","20.4%","0.26",".282",".321",".409",".731",".127","6.6",".340","0.2","-1.1","2.1","72","0.5",".315","99","15518"
"DJ LeMahieu","NYY","679","10.8%","13.8%","0.78",".268",".349",".362",".711",".094","3.0",".301","0.8","-1.8","-0.7","83","0.4",".315","100","9874"
"Adolis Garcia","TEX","622","5.1%","31.2%","0.16",".243",".286",".454",".741",".212","5.1",".306","-1.7","-0.4","0.7","75","-0.1",".314","100","19287"
"David Peralta","ARI","538","8.6%","17.1%","0.50",".259",".325",".402",".728",".144","4.6",".303","1.9","0.6","-0.5","65","-0.1",".314","93","2136"
"J.P. Crawford","SEA","687","8.4%","16.6%","0.51",".273",".338",".376",".715",".103","2.5",".320","-0.1","-0.1","-2.5","83","-0.2",".314","103","15491"
"Jazz Chisholm Jr.","MIA","507","6.7%","28.6%","0.23",".248",".303",".425",".728",".177","7.0",".319","1.3","1.1","0.9","61","-0.8",".312","98","20454"
"Matt Chapman","OAK","622","12.9%","32.5%","0.40",".210",".314",".403",".716",".193","3.6",".272","0.9","1.9","-0.8","74","-1.5",".311","101","16505"
"Miguel Rojas","MIA","539","6.9%","13.7%","0.50",".265",".322",".392",".713",".127","5.4",".295","1.3","-0.7","0.9","64","-1.4",".311","97","7802"
"Jed Lowrie","OAK","512","9.6%","21.1%","0.45",".245",".318",".398",".717",".153","1.3",".289","-1.9","0.7","-0.4","61","-1.4",".311","100","4418"
"Myles Straw","- - -","638","10.5%","19.0%","0.55",".271",".349",".348",".696",".076","5.4",".336","3.5","-0.2","2.8","75","-1.9",".311","98","17620"
"Kyle Seager","SEA","670","8.8%","24.0%","0.37",".212",".285",".438",".723",".226","2.8",".226","-3.8","2.1","-0.2","77","-3.8",".308","99","9785"
"Gleyber Torres","NYY","516","9.7%","20.2%","0.48",".259",".331",".366",".697",".107","3.5",".314","1.1","-0.7","-0.2","59","-3.3",".307","94","16997"
"Whit Merrifield","KCR","720","5.6%","14.3%","0.39",".277",".317",".395",".711",".117","6.6",".309","1.8","-0.1","5.7","82","-4.9",".306","91","11281"
"Eugenio Suarez","CIN","574","9.8%","29.8%","0.33",".198",".286",".428",".713",".230","1.7",".224","-3.1","-0.2","-0.8","66","-3.9",".306","85","12552"
"Miguel Cabrera","DET","526","7.6%","22.4%","0.34",".256",".316",".386",".701",".129","0.9",".305","-3.7","-2.1","-0.5","60","-4.2",".305","92","1744"
"Raimel Tapia","COL","533","7.5%","13.1%","0.57",".273",".327",".372",".699",".099","5.5",".306","2.8","-0.1","1.0","60","-4.3",".305","76","14350"
"Jose Iglesias","- - -","511","4.1%","14.7%","0.28",".271",".309",".391",".701",".120","4.4",".305","0.5","-0.5","-0.2","57","-4.4",".304","91","10231"
"Cesar Hernandez","- - -","637","9.3%","21.2%","0.44",".232",".308",".386",".694",".154","3.1",".266","1.6","-0.1","-0.7","71","-6.6",".302","90","10556"
"Tommy Edman","STL","691","5.5%","13.7%","0.40",".262",".308",".387",".695",".125","6.3",".291","3.0","1.6","3.4","76","-7.8",".301","91","19470"
"Randal Grichuk","TOR","545","5.0%","20.9%","0.24",".241",".281",".423",".703",".182","2.3",".266","-1.4","-1.9","-1.6","60","-6.5",".300","85","10243"
"Nick Solak","TEX","511","6.7%","20.9%","0.32",".242",".314",".362",".677",".120","4.3",".292","1.5","0.0","-1.1","55","-6.5",".299","89","19294"
"Carlos Santana","KCR","659","13.1%","15.5%","0.84",".214",".319",".342",".660",".127","2.1",".227","-0.9","0.3","-0.2","69","-11.2",".294","83","2396"
"Hunter Dozier","KCR","543","7.9%","28.4%","0.28",".216",".285",".394",".680",".179","5.1",".276","0.8","-1.2","-1.0","56","-9.7",".293","82","15117"
"Isiah Kiner-Falefa","TEX","677","4.1%","13.3%","0.31",".271",".312",".357",".670",".087","5.2",".304","3.0","-0.1","1.3","70","-12.2",".293","85","16512"
"Michael A. Taylor","KCR","528","6.3%","27.3%","0.23",".244",".297",".356",".653",".112","4.5",".319","1.5","-0.6","-0.6","51","-12.6",".286","77","11489"
"David Fletcher","LAA","665","4.7%","9.0%","0.52",".262",".297",".324",".622",".062","5.2",".287","2.3","-0.2","1.2","58","-22.7",".273","70","17992"
"Elvis Andrus","OAK","541","5.7%","15.0%","0.38",".243",".294",".320",".614",".076","5.3",".283","4.9","-1.5","1.1","46","-20.0",".270","72","8709"
"Kevin Newman","PIT","554","4.9%","7.4%","0.66",".226",".265",".309",".574",".083","4.5",".236","2.6","2.1","0.4","37","-29.9",".249","54","17696"
