"Season","Name","Team","wFB","vFA (sc)","FA-Z (sc)","playerid"
"2021","Anthony DeSclafani","SFG","15.1","94.1","9.4","13050"
"2021","Joe Musgrove","SDP","-7.1","93.3","7.6","12970"
"2015","A.J. Burnett","PIT","3.6","91.1","6.9","512"
"2016","J.A. Happ","TOR","30.6","91.8","9.5","7410"
"2021","Sandy Alcantara","MIA","11.6","98.1","8.1","18684"
"2016","Jose Quintana","CHW","29.9","92.0","9.2","11423"
"2017","Zack Greinke","ARI","-1.9","90.8","10.3","1943"
"2018","Jameson Taillon","PIT","12.9","95.2","9.0","11674"
"2018","Zack Greinke","ARI","-5.0","89.5","10.0","1943"
"2016","Julio Teheran","ATL","6.4","91.1","8.0","6797"
"2020","Luis Castillo","CIN","3.7","97.4","7.1","15689"
"2019","Marcus Stroman","- - -","-4.3","92.9","7.6","13431"
"2021","Gerrit Cole","NYY","12.1","97.7","10.5","13125"
"2015","Chris Archer","TBR","0.6","95.1","11.3","6345"
"2019","Patrick Corbin","WSN","1.4","91.8","9.1","9323"
"2019","Walker Buehler","LAD","24.4","96.5","10.2","19374"
"2015","Tyson Ross","SDP","-9.5","92.9","8.1","7872"
"2019","Shane Bieber","CLE","12.8","93.1","10.4","19427"
"2017","Ervin Santana","MIN","-0.3","93.2","11.6","3200"
"2020","Aaron Nola","PHI","3.6","92.8","7.8","16149"
"2017","Carlos Carrasco","CLE","-11.3","94.3","8.7","6632"
"2020","Dylan Bundy","LAA","2.9","90.0","11.1","12917"
"2018","Zack Wheeler","NYM","23.8","95.8","9.6","10310"
"2019","Stephen Strasburg","WSN","9.2","93.9","8.7","10131"
"2017","Drew Pomeranz","BOS","6.1","91.4","10.7","11426"
"2016","Cole Hamels","TEX","4.3","91.9","9.8","4972"
"2018","Jon Lester","CHC","-6.7","91.0","9.0","4930"
"2020","Lance Lynn","TEX","7.4","94.0","9.0","2520"
"2016","Drew Pomeranz","- - -","6.7","91.1","10.1","11426"
"2016","Chris Sale","CHW","14.7","","","10603"
"2015","Jon Lester","CHC","7.7","92.0","9.2","4930"
"2015","Wei-Yin Chen","BAL","1.4","91.6","10.3","13071"
"2021","Charlie Morton","ATL","4.7","95.5","7.3","4676"
"2016","John Lackey","CHC","0.8","91.8","8.4","1507"
"2015","Jake Odorizzi","TBR","8.4","91.3","12.0","6397"
"2019","Dakota Hudson","STL","-0.7","93.9","6.8","19206"
"2015","Jose Quintana","CHW","-9.6","91.3","9.9","11423"
"2017","Justin Verlander","- - -","33.5","95.3","10.1","8700"
"2021","Wade Miley","CIN","2.6","89.9","9.8","8779"
"2021","Frankie Montas","OAK","7.2","96.4","10.4","14309"
"2015","Michael Wacha","STL","9.3","94.1","10.6","14078"
"2018","Carlos Carrasco","CLE","-1.2","93.7","8.0","6632"
"2015","Francisco Liriano","PIT","-4.3","92.1","8.5","3201"
"2016","Ervin Santana","MIN","15.1","92.7","8.9","3200"
"2018","Luis Severino","NYY","6.6","97.6","9.6","15890"
"2019","Luis Castillo","CIN","3.9","96.4","6.7","15689"
"2017","Andrew Cashner","TEX","17.7","93.8","10.2","8782"
"2015","Chris Sale","CHW","0.5","93.3","7.8","10603"
"2019","Lucas Giolito","CHW","20.6","94.2","10.9","15474"
"2015","Yovani Gallardo","TEX","2.7","90.6","10.8","8173"
"2016","Bartolo Colon","NYM","13.7","89.8","8.8","375"
"2017","Lance Lynn","STL","15.5","92.4","9.1","2520"
"2020","Antonio Senzatela","COL","0.7","94.3","6.3","15488"
"2018","Kyle Hendricks","CHC","4.4","87.3","9.6","12049"
"2015","Johnny Cueto","- - -","19.1","92.6","9.3","6893"
"2015","Danny Salazar","CLE","-2.8","94.9","9.8","5867"
"2019","Kyle Hendricks","CHC","13.0","87.2","8.3","12049"
"2016","Marco Estrada","TOR","10.6","87.9","12.8","1118"
"2020","Lucas Giolito","CHW","11.0","94.0","10.9","15474"
"2016","Kenta Maeda","LAD","4.8","90.1","9.7","18498"
"2015","Corey Kluber","CLE","-8.5","92.6","8.9","2429"
"2017","Jimmy Nelson","MIL","8.4","94.1","9.6","10547"
"2018","Jhoulys Chacin","MIL","-7.5","89.9","7.9","2608"
"2016","Danny Duffy","KCR","2.2","94.8","11.6","3542"
"2021","Jose Berrios","- - -","8.1","94.1","8.4","14168"
"2019","Jeff Samardzija","SFG","7.5","91.6","8.9","3254"
"2015","Felix Hernandez","SEA","-13.3","92.0","6.8","4772"
"2021","Lucas Giolito","CHW","1.1","93.8","11.3","15474"
"2017","Jake Arrieta","CHC","9.6","92.2","9.7","4153"
"2017","Jacob deGrom","NYM","14.2","95.2","10.0","10954"
"2017","Aaron Nola","PHI","-3.7","92.3","7.9","16149"
"2017","Sonny Gray","- - -","5.0","93.5","8.5","12768"
"2015","Edinson Volquez","KCR","-10.6","93.7","9.0","3990"
